	wt	gender	grade	live.with.father	amt.smoke	alcohol	amt.alcohol	marijuana	amt.marijuana
6753	9563.7538	2	1	1	98	2	98	2	1
8173	7418.1222	2	2	2	98	2	98	2	1
5804	7950.9478	2	1	1	98	1	7	2	1
2188	3771.158	1	2	2	7	1	5	1	8
4628	6782.1535	2	3	1	2	1	3	1	7
4615	8015.2723	2	3	1	1	1	6	1	8
4522	6571.4275	2	1	1	7	2	98	2	1
851	1379.7795	1	1	2	7	2	98	2	1
4465	5866.7607	1	3	1	98	2	98	2	1
2734	5352.0896	2	3	2	7	1	6	1	8
7709	1196.3726	1	2	2	98	2	98	2	1
4025	10066.1923	1	3	1	1	1	4	1	6
4179	223.7805	2	2	1	1	1	5	2	1
2150	3059.3064	2	1	2	98	2	98	2	1
282	1406.9528	2	2	1	98	2	98	2	1
4314	265.4249	1	1	1	98	2	98	2	1
6860	7062.51	2	2	2	7	1	7	2	1
7750	639.1653	2	3	2	1	1	6	1	7
5230	958.0035	2	3	1	1	1	6	1	6
6750	9563.7538	1	1	1	7	2	98	2	1
7073	8323.3558	2	3	1	98	2	98	2	1
678	737.6305	1	3	1	6	1	3	1	4
4343	821.2376	2	3	2	7	1	6	1	8
4481	5866.7607	1	3	1	98	1	7	2	1
4572	6223.7833	1	2	1	1	1	4	1	3
605	2518.4789	2	1	2	98	2	98	2	1
2026	954.4005	1	3	1	1	1	5	1	2
3972	2452.4347	1	2	2	98	2	98	2	1
2208	6838.0489	2	2	1	98	2	98	2	1
2724	9217.2004	1	1	1	98	2	98	2	1
6019	1073.6385	2	3	1	3	1	7	1	6
4619	6493.9961	2	3	1	6	2	98	2	1
9771	1150.3524	1	3	1	98	2	98	2	1
4024	10066.1923	1	3	2	6	1	6	1	8
7080	8323.3558	1	3	1	7	1	7	2	1
4664	9563.7538	1	1	2	7	1	7	2	1
2606	3447.0998	1	2	1	7	1	7	1	8
3998	4561.2354	2	1	1	98	2	98	2	1
6782	6223.7833	2	2	2	98	2	98	2	1
7082	8323.3558	2	3	2	98	2	98	2	1
6214	975.9796	2	2	1	98	2	98	2	1
999	629.57	1	3	1	98	1	7	1	8
4581	6223.7833	1	2	1	98	1	6	2	1
9407	4421.8246	1	1	2	98	1	7	2	1
4528	6571.4275	2	1	1	98	2	98	2	1
6887	7062.51	1	2	1	7	1	7	2	1
2688	9217.2004	2	1	1	98	2	98	2	1
451	1304.8002	2	1	1	98	2	98	2	1
4038	5731.1672	2	3	1	7	1	6	1	8
6693	2541.0682	1	2	2	98	2	98	2	1
9352	910.5327	1	3	1	98	2	98	2	1
2783	5312.5591	1	2	1	7	2	98	2	1
4039	10066.1923	2	3	1	99	2	98	2	1
6398	613.086	2	2	2	98	1	7	2	1
9074	1905.1062	1	3	1	98	2	98	2	1
6084	1078.6077	2	1	1	98	2	98	2	1
1578	940.7657	1	2	1	6	2	98	2	1
3671	3202.8284	2	1	1	7	2	98	2	1
7797	895.5782	1	1	1	98	2	98	2	1
222	1000.786	2	1	1	98	2	98	2	1
6893	7062.51	2	2	1	7	2	98	2	1
4594	8757.5344	1	1	1	98	2	98	2	1
341	1667.3085	1	3	1	7	1	7	1	8
4405	1271.3006	1	2	2	7	1	7	1	3
4059	3224.6236	2	1	1	98	2	98	2	1
3624	610.0022	1	2	1	98	2	98	2	1
2716	9217.2004	1	1	1	98	2	98	2	1
5007	620.9416	1	1	1	7	1	7	2	1
7632	737.5948	2	1	2	6	2	98	2	1
254	813.1386	2	1	2	98	2	98	2	1
6768	9563.7538	2	1	2	7	1	6	2	1
3463	4655.4369	2	2	1	98	1	7	2	1
2112	200.4046	1	2	1	98	2	98	2	1
484	1587.6193	2	2	1	98	2	98	2	1
3471	1788.7596	1	2	1	7	1	7	2	1
6850	512.7928	2	3	2	1	1	5	1	4
2799	6617.6012	2	3	1	98	1	7	1	5
5042	620.9416	1	1	2	98	2	98	2	1
468	1587.6193	2	2	1	7	1	7	2	1
4680	6482.7838	1	2	1	4	1	6	1	7
4054	5390.5509	1	1	1	98	2	98	2	1
1221	748.851	1	3	1	99	1	5	1	2
9403	4421.8246	1	1	1	6	2	98	2	1
1955	3714.79	1	1	2	98	2	98	2	1
3626	610.0022	2	2	1	98	2	98	2	1
7075	8323.3558	2	3	1	98	2	98	2	1
9356	1261.9037	2	2	1	98	2	98	2	1
5811	7950.9478	1	1	1	7	2	98	2	1
4626	6782.1535	2	3	1	1	1	5	1	3
4564	6223.7833	2	2	2	99	9	99	2	1
6892	5383.8429	2	1	1	98	2	98	2	1
5922	3660.6821	2	2	1	98	2	98	2	1
2697	9217.2004	1	1	2	6	1	6	2	1
5867	2964.4757	1	3	1	98	2	98	2	1
2706	9217.2004	1	1	2	4	2	98	2	1
6668	1236.2514	2	1	1	98	2	98	2	1
4357	1589.1258	2	2	1	98	2	98	2	1
9308	3708.3536	1	1	2	98	2	98	2	1
5615	418.1568	1	2	1	98	1	6	2	1
9137	2261.5691	1	3	1	98	2	98	2	1
4974	1172.9274	2	1	2	7	1	5	2	1
7634	1041.8173	2	1	2	98	2	98	2	1
9312	3798.2483	2	2	2	99	1	4	1	8
1887	1258.7001	2	1	1	98	2	98	2	1
8131	2738.7947	2	3	1	6	2	98	2	1
2703	6482.7838	2	2	2	99	9	99	2	1
2803	6617.6012	1	3	1	98	2	98	2	1
9270	1547.9489	1	2	1	98	1	7	2	1
677	1295.5703	1	3	1	1	1	5	1	5
499	552.1105	2	1	1	98	1	6	2	1
4406	1220.5096	2	2	1	98	1	6	2	1
1249	3789.5575	2	2	1	98	2	98	2	1
6952	1078.2394	2	2	1	7	1	4	2	1
850	1379.7795	2	1	2	98	2	98	2	1
8148	7812.0633	2	2	1	98	2	98	2	1
7278	603.6637	2	1	2	98	2	98	2	1
4585	6223.7833	2	2	2	98	2	98	2	1
4556	8757.5344	1	1	1	98	2	98	2	1
4638	6782.1535	1	3	1	98	2	98	2	1
4695	9563.7538	1	1	2	98	2	98	2	1
3994	10356.5925	2	3	1	7	1	7	2	1
4608	8015.2723	1	3	1	6	1	6	1	4
2730	5352.0896	2	3	1	98	2	98	2	1
9296	1383.2817	1	3	1	7	1	4	1	8
2751	5352.0896	2	3	1	1	1	5	1	8
1154	559.5349	1	2	2	7	1	6	1	6
4478	6571.4405	2	2	2	98	2	98	2	1
3411	3741.9766	2	3	1	7	1	7	2	1
5970	857.7517	2	2	1	98	2	98	2	1
7213	438.9845	2	3	9	99	9	99	2	1
4105	255.7931	1	3	1	1	1	4	1	3
2689	6223.7833	1	2	1	98	2	98	2	1
3540	5484.279	1	3	1	98	2	98	2	1
4639	6782.1535	2	3	1	2	1	4	1	5
4358	1589.1258	2	2	1	98	2	98	2	1
5998	2496.796	2	1	1	98	2	98	1	8
9389	6245.8787	2	3	2	7	1	7	2	1
2636	2781.1643	2	3	1	98	1	7	1	8
7747	517.8535	2	3	1	98	1	7	2	1
7320	4285.3845	2	1	2	98	2	98	2	1
7058	8323.3558	2	3	1	98	1	7	2	1
9408	4421.8246	2	1	1	7	9	99	2	1
2798	8167.833	2	3	2	4	1	7	1	7
6090	976.7533	1	2	1	98	2	98	2	1
2551	2826.9102	2	3	1	98	2	98	2	1
4641	5494.9198	2	3	2	98	1	6	2	1
1419	602.0604	1	2	1	98	2	98	2	1
7046	1252.6996	1	2	1	98	2	98	2	1
4469	5866.7607	1	3	1	98	2	98	2	1
3519	2995.2062	1	1	2	98	2	98	2	1
4609	8015.2723	1	3	1	5	1	6	2	1
3504	5007.0376	2	1	1	6	2	98	2	1
2707	5513.7225	1	1	1	2	1	7	1	4
9440	4234.2961	1	2	1	3	1	2	1	4
5828	2317.5904	2	2	1	98	2	98	2	1
3398	3741.9766	2	3	1	98	2	98	2	1
204	1406.9528	2	2	1	98	2	98	2	1
5802	7950.9478	2	1	2	98	1	6	2	1
1103	4430.1976	2	1	1	98	2	98	2	1
5015	620.9416	2	1	1	98	2	98	2	1
4671	6223.7833	1	2	2	7	1	7	2	1
3976	4318.4373	2	2	2	98	2	98	2	1
1949	2915.5595	2	1	1	98	2	98	2	1
1112	1194.3647	2	2	2	98	2	98	2	1
6058	2946.3962	2	1	1	98	1	7	2	1
6061	1825.5504	2	2	1	98	2	98	2	1
3393	3741.9766	2	3	1	98	1	6	2	1
3434	5200.5747	2	1	1	98	2	98	2	1
3476	5007.0376	2	1	1	98	2	98	2	1
7834	919.4108	1	2	1	7	1	4	2	1
4557	6223.7833	1	2	1	98	2	98	2	1
6358	613.086	2	2	1	98	2	98	2	1
2771	5312.5591	1	2	1	7	1	7	1	8
3474	1788.7596	2	2	1	98	2	98	2	1
5795	3390.5378	1	1	1	98	2	98	2	1
4604	8015.2723	1	3	2	4	1	6	1	5
3425	5200.5747	2	1	1	98	2	98	2	1
7047	1252.6996	2	2	1	98	2	98	2	1
9388	6245.8787	1	3	1	98	1	7	2	1
9382	7709.0313	1	3	2	7	1	6	2	1
6664	1330.4367	2	1	2	98	2	98	2	1
627	905.4803	2	1	1	98	2	98	2	1
9320	910.5327	1	3	1	98	1	7	2	1
5798	3390.5378	2	1	1	98	2	98	2	1
2549	3883.0107	1	1	2	98	2	98	2	1
4686	6223.7833	1	2	1	98	1	6	2	1
6077	1825.5504	7	2	1	7	1	6	1	2
1959	1822.577	1	1	2	98	9	99	2	1
3516	5007.0376	2	1	1	98	2	98	2	1
3971	3818.0291	2	2	1	98	2	98	2	1
6765	5765.7728	1	2	1	6	1	7	2	1
6516	1774.7546	1	3	1	98	1	6	2	1
3509	2995.2062	1	1	1	98	1	7	2	1
4600	8757.5344	2	1	1	98	1	6	2	1
9262	1022.4256	2	3	2	3	1	4	1	4
9148	1396.3573	1	1	1	98	2	98	2	1
2787	6617.6012	2	3	2	98	1	6	2	1
2416	411.2082	1	2	1	98	2	98	2	1
9367	3462.0552	2	1	2	98	2	98	2	1
3486	1788.7596	2	2	2	5	1	4	2	1
4185	193.5112	1	2	2	98	1	7	1	8
6054	1825.5504	1	2	2	98	1	6	2	1
6255	1319.1555	1	1	2	98	2	98	2	1
4442	685.8556	1	1	1	7	2	98	1	8
7300	3202.8284	1	1	1	98	2	98	2	1
8159	1450.6718	1	3	1	3	1	5	1	6
4662	9563.7538	1	1	1	6	1	5	1	7
7081	8323.3558	2	3	2	7	1	6	1	8
6774	6482.7838	2	2	1	1	1	2	1	4
4035	10066.1923	1	3	1	2	1	4	1	7
7056	1252.6996	1	2	1	98	2	98	2	1
4329	198.3744	1	1	1	98	2	98	2	1
9411	4421.8246	2	1	1	98	2	98	2	1
1087	881.4522	1	3	1	1	1	5	1	7
1123	3376.6134	1	1	1	98	2	98	2	1
4050	5390.5509	1	1	1	98	2	98	2	1
2795	8167.833	2	3	1	98	2	98	2	1
4051	5390.5509	1	1	1	6	1	6	2	1
2657	4285.3845	2	1	1	98	2	98	2	1
4438	1146.5337	1	1	1	7	1	1	1	2
4702	1446.3718	2	2	1	7	1	5	2	1
1289	3153.8767	2	3	1	98	1	6	1	7
3525	1788.7596	1	2	1	99	9	99	1	8
4568	6223.7833	2	2	2	6	2	98	2	1
4389	1605.1471	1	1	2	7	2	98	2	1
6731	919.116	1	2	1	7	2	98	2	1
3679	3202.8284	2	1	2	3	1	3	1	5
7925	256.9484	2	1	1	98	2	98	2	1
4028	5731.1672	1	3	1	7	1	5	1	8
6900	5383.8429	2	1	1	98	2	98	2	1
4618	8015.2723	2	3	1	98	1	7	2	1
2881	744.427	2	1	1	6	1	7	1	8
4693	6223.7833	1	2	1	98	1	7	2	1
3458	4655.4369	1	2	1	98	2	98	2	1
1376	3661.8795	1	1	1	98	2	98	2	1
6770	9563.7538	1	1	2	98	2	98	2	1
6387	613.086	2	2	1	7	2	98	2	1
4527	6571.4275	2	1	1	98	2	98	2	1
1124	1194.3647	1	2	1	98	2	98	2	1
6258	1319.1555	1	1	2	7	1	7	2	1
6391	403.264	2	1	2	98	2	98	2	1
4914	739.2395	1	1	1	98	2	98	2	1
6760	9563.7538	2	1	2	98	2	98	2	1
3709	2752.824	2	9	2	98	2	98	1	8
2710	9217.2004	1	1	2	99	9	99	2	1
433	1304.8002	2	1	1	98	2	98	2	1
8640	717.3913	1	3	1	98	2	98	1	4
1011	629.57	2	3	1	98	1	6	1	7
3478	3149.7866	2	2	1	7	1	6	1	8
6758	9563.7538	2	1	1	98	1	6	2	1
4563	8757.5344	2	1	1	98	2	98	2	1
4576	8757.5344	1	1	2	98	2	98	2	1
6988	276.5914	2	3	1	7	1	6	1	8
1874	2104.1485	2	1	1	98	2	98	2	1
6795	8105.6358	2	3	1	2	1	5	1	7
6803	8105.6358	1	3	1	7	1	3	2	1
9487	743.3739	1	3	1	7	1	6	1	6
1351	1103.0564	2	1	1	7	1	6	2	1
4482	5866.7607	1	3	1	98	1	6	2	1
5807	7950.9478	2	1	1	98	2	98	2	1
7713	1148.575	2	2	2	6	1	4	1	7
1387	1151.6181	1	3	1	7	2	98	2	1
2155	5114.1929	1	1	1	98	2	98	2	1
637	1182.4101	1	2	1	98	1	6	2	1
2659	4285.3845	2	1	2	98	2	98	2	1
4554	8757.5344	2	1	1	6	1	6	2	1
5793	3390.5378	2	1	1	98	2	98	2	1
6261	2205.2107	2	1	1	98	2	98	2	1
6514	1774.7546	2	3	2	4	2	98	2	1
1007	629.57	2	3	2	7	1	6	2	1
9217	1304.8002	2	1	9	98	2	98	2	1
463	1304.8002	2	1	1	98	2	98	2	1
6792	6223.7833	2	2	1	98	2	98	2	1
837	1379.7795	2	1	2	6	1	6	2	1
2617	5745.1663	2	2	2	5	1	5	1	3
6869	7356.4138	2	2	2	99	1	6	1	7
3404	2904.9391	2	3	1	98	2	98	2	1
2699	6223.7833	2	2	1	98	2	98	2	1
6881	5383.8429	2	1	1	98	2	98	2	1
6773	6223.7833	1	2	1	98	2	98	2	1
6754	9563.7538	1	1	1	99	1	6	2	1
5870	2964.4757	1	3	1	98	2	98	2	1
4855	811.278	1	3	1	98	2	98	2	1
2535	2902.1006	1	1	2	99	9	99	9	99
3520	2995.2062	1	1	1	98	2	98	2	1
456	934.6037	1	2	2	1	1	7	1	8
2738	5352.0896	2	3	2	5	1	5	1	7
6888	7356.4138	2	2	1	98	1	6	2	1
2544	2902.1006	1	1	1	98	2	98	2	1
1844	90.8442	1	3	1	98	2	98	2	1
3397	3741.9766	2	3	1	98	2	98	2	1
4495	5866.7607	1	3	1	98	1	6	2	1
6970	485.8037	2	3	1	98	2	98	2	1
1941	2915.5595	2	1	1	98	2	98	2	1
6880	7062.51	1	2	1	7	1	7	2	1
4682	6223.7833	1	2	1	98	1	7	2	1
351	949.2789	1	3	2	7	9	99	9	99
1081	881.4522	2	3	1	98	1	7	2	1
352	1490.1373	1	9	1	1	1	5	1	8
7269	527.3184	1	2	2	98	2	98	2	1
6800	8105.6358	1	3	1	7	1	7	1	8
9774	1150.3524	1	3	1	1	1	3	2	1
3961	4318.4373	1	2	1	98	2	98	2	1
2193	7688.4043	2	2	2	98	1	7	1	8
4509	3340.2289	1	3	1	7	1	4	1	8
4299	198.3744	1	1	1	98	2	98	2	1
4044	5390.5509	1	1	1	98	2	98	2	1
593	1506.5522	1	1	1	98	2	98	1	8
2686	6223.7833	1	2	1	7	1	4	2	1
443	1587.6193	1	2	1	98	1	7	2	1
3891	107.7657	2	3	1	6	1	5	1	8
5622	418.1568	1	2	2	3	1	4	1	4
3677	3202.8284	1	1	2	3	1	5	1	6
4631	6782.1535	1	3	1	5	1	3	2	1
5631	418.1568	2	2	1	98	2	98	2	1
9081	1905.1062	1	3	2	1	1	6	1	8
4640	6782.1535	2	3	1	98	2	98	2	1
7681	1325.9492	1	1	1	98	2	98	1	8
4621	8015.2723	1	3	2	7	1	7	2	1
3455	4655.4369	1	2	2	98	1	7	2	1
5857	572.9151	1	3	1	1	1	3	1	7
2652	1915.9296	2	1	1	6	1	7	2	1
482	1304.8002	2	1	1	98	2	98	2	1
6917	833.5929	1	1	2	98	2	98	2	1
4620	8015.2723	2	3	1	98	1	6	1	6
7304	3202.8284	2	1	1	98	2	98	2	1
9332	910.5327	2	3	1	6	1	5	1	8
4487	5866.7607	1	3	1	99	1	5	2	1
7251	527.3184	1	2	1	7	1	6	2	1
6688	2541.0682	2	2	1	98	2	98	2	1
2704	6223.7833	1	2	1	98	2	98	2	1
4623	8015.2723	2	3	1	1	1	5	1	7
4034	10066.1923	1	3	1	98	2	98	2	1
5267	1398.0733	2	2	1	98	2	98	2	1
445	1304.8002	2	1	1	98	2	98	2	1
7290	807.7021	2	1	1	99	9	99	2	1
2203	7381.2368	2	2	1	6	1	5	2	1
9377	2314.5281	2	2	2	5	2	98	2	1
6898	5383.8429	1	1	1	98	2	98	2	1
6386	403.264	2	1	2	98	2	98	2	1
7060	8323.3558	1	3	1	98	1	6	2	1
4913	739.2395	2	1	1	98	2	98	2	1
5563	279.4147	2	2	1	98	2	98	2	1
2722	6223.7833	2	2	1	7	2	98	2	1
3427	5200.5747	2	1	2	98	2	98	2	1
198	1000.786	2	1	1	98	2	98	2	1
4580	6223.7833	2	2	1	98	2	98	2	1
6875	7062.51	2	2	1	6	1	7	2	1
4474	6571.4405	1	2	1	1	2	98	1	8
9437	4410.5048	2	2	1	98	2	98	2	1
2678	6223.7833	1	2	1	5	1	4	2	1
4500	5866.7607	2	3	1	1	1	6	1	8
5796	3390.5378	1	1	1	98	2	98	2	1
9288	1120.7388	1	3	1	7	1	7	1	8
2708	12332.6145	1	1	2	98	2	98	2	1
3983	10356.5925	1	3	1	98	1	5	1	7
1362	3661.8795	1	1	1	98	2	98	2	1
2477	754.2199	1	2	1	98	1	6	2	1
6181	1401.7581	1	3	1	7	1	7	2	1
6655	2975.8049	2	1	2	98	2	98	2	1
7660	990.9934	2	1	2	98	2	98	2	1
6051	3110.346	1	1	1	98	2	98	2	1
6863	7062.51	1	2	1	98	2	98	2	1
1410	1151.6181	1	3	1	6	2	98	1	7
7071	8323.3558	1	3	1	98	1	7	2	1
9428	4410.5048	1	2	1	6	2	98	2	1
7268	807.7021	2	1	1	98	2	98	2	1
2536	1736.0344	1	1	1	98	2	98	2	1
4552	4220.9932	1	2	1	6	1	7	2	1
4296	198.3744	2	1	1	98	2	98	2	1
2567	2826.9102	2	3	2	7	1	7	1	8
4558	6223.7833	1	2	1	98	2	98	2	1
2143	8210.3153	2	1	2	7	1	6	2	1
1391	655.6715	1	3	1	98	2	98	2	1
4636	6782.1535	2	3	2	1	1	7	2	1
4657	6223.7833	2	2	2	3	1	4	1	6
9211	1304.8002	2	1	1	98	2	98	2	1
7309	3202.8284	1	1	1	98	2	98	2	1
3423	5200.5747	2	1	1	98	2	98	2	1
2900	744.427	1	1	1	5	1	3	2	1
6793	8105.6358	2	3	1	1	1	6	1	8
4617	8015.2723	1	3	1	7	1	3	2	1
4805	95.6492	1	1	1	7	1	7	2	1
3450	4655.4369	1	2	1	98	2	98	2	1
5888	2964.4757	1	3	1	1	2	98	2	1
3537	5484.279	2	3	2	98	1	7	1	7
4533	4220.9932	1	2	1	6	1	7	1	8
2133	8210.3153	2	1	1	98	2	98	2	1
6884	5383.8429	1	1	1	98	1	7	2	1
3680	3202.8284	1	1	2	98	2	98	2	1
7045	1314.5165	1	1	1	7	2	98	2	1
5494	603.6637	2	1	2	98	2	98	2	1
256	1406.9528	1	2	1	7	1	5	1	8
6854	7062.51	1	2	1	6	1	5	2	1
1892	1258.7001	1	1	1	98	2	98	2	1
1275	2216.3014	1	3	1	7	1	6	2	1
5853	2317.5904	1	2	1	98	2	98	2	1
4674	9563.7538	2	1	1	98	1	7	2	1
2568	2826.9102	2	3	1	98	2	98	2	1
2736	5352.0896	2	3	2	98	2	98	2	1
4122	207.2443	2	3	2	7	1	7	1	8
1450	341.9093	1	2	1	7	1	7	1	7
2723	6223.7833	2	2	1	7	1	6	1	6
9282	1383.2817	2	3	2	98	1	7	2	1
4513	6571.4275	2	1	1	7	1	7	2	1
3498	1788.7596	1	2	2	6	1	7	2	1
9179	1188.0225	1	1	2	7	2	98	2	1
9051	1864.9068	1	2	1	98	2	98	2	1
3960	2452.4347	1	2	1	7	1	4	1	8
441	1304.8002	2	1	1	4	1	6	2	1
4477	6571.4405	1	2	1	98	1	5	2	1
6126	1365.2778	1	3	2	1	1	5	1	3
4588	8757.5344	1	1	1	98	2	98	2	1
4661	12796.303	2	1	2	99	2	98	2	1
4393	2432.6876	2	3	1	98	2	98	2	1
2605	3447.0998	1	2	1	98	1	6	2	1
4415	1220.5096	2	2	1	98	1	6	2	1
475	1587.6193	1	2	1	98	2	98	2	1
6262	1730.7635	1	1	1	98	2	98	2	1
3394	3741.9766	2	3	1	98	1	6	2	1
5810	7950.9478	1	1	1	98	2	98	2	1
4652	9563.7538	1	1	2	99	1	7	1	8
2539	1736.0344	1	1	2	99	9	99	9	99
9438	4234.2961	2	2	2	2	1	5	2	1
7782	895.5782	2	1	1	98	1	6	2	1
3956	4318.4373	1	2	1	98	2	98	2	1
440	1587.6193	1	2	1	98	2	98	2	1
4501	5866.7607	2	3	1	98	1	6	2	1
3451	4655.4369	1	2	1	7	2	98	1	8
2661	4285.3845	1	1	1	98	2	98	2	1
2743	5352.0896	2	3	2	98	1	7	2	1
1133	4430.1976	1	1	1	98	1	7	2	1
4446	1146.5337	2	1	1	98	2	98	2	1
4492	5866.7607	2	3	2	7	1	6	2	1
4001	4561.2354	2	1	1	7	1	7	2	1
5827	572.9151	2	3	2	98	2	98	2	1
827	1182.4101	1	2	1	4	1	6	1	7
2709	6223.7833	1	2	1	98	2	98	2	1
4454	6571.4405	2	2	1	98	2	98	2	1
2137	8210.3153	1	1	1	4	2	98	1	2
9124	2261.5691	2	3	1	98	2	98	2	1
3496	2995.2062	2	1	1	98	1	5	1	6
2789	8167.833	1	3	2	7	1	4	1	4
9769	1150.3524	2	3	1	7	1	7	2	1
602	2518.4789	2	1	1	98	2	98	2	1
3503	2995.2062	2	1	1	98	2	98	2	1
6809	8105.6358	1	3	1	7	1	6	2	1
6399	389.7139	2	1	1	98	2	98	2	1
2626	3432.6767	2	3	1	98	2	98	2	1
2171	5114.1929	2	1	2	98	2	98	2	1
1380	1188.7952	2	2	2	98	2	98	2	1
2135	4911.4046	1	1	1	98	2	98	2	1
6131	591.5778	1	3	1	98	2	98	2	1
1076	501.8531	2	3	1	98	2	98	2	1
4605	8015.2723	2	3	1	1	1	3	1	4
3696	2594.0487	1	3	2	6	1	7	2	1
2665	1915.9296	1	1	1	98	2	98	2	1
2511	754.2199	1	2	2	7	1	5	2	1
7852	851.7511	1	2	1	1	1	1	1	2
9423	4234.2961	2	2	1	98	2	98	2	1
4043	5390.5509	2	1	1	98	2	98	2	1
2759	4696.9549	2	2	1	98	2	98	2	1
2732	5352.0896	2	3	1	3	1	4	1	6
2634	3432.6767	2	3	1	98	2	98	2	1
6109	976.7533	1	2	1	6	1	3	2	1
3988	10356.5925	1	3	2	1	1	4	2	1
1344	3661.8795	2	1	1	98	2	98	2	1
478	1587.6193	2	2	1	98	1	7	2	1
9395	4421.8246	1	1	1	7	1	4	1	7
4036	7814.4998	2	3	2	98	2	98	2	1
664	905.4803	2	1	1	98	2	98	2	1
694	81.0087	2	2	2	7	2	98	2	1
663	905.4803	2	1	1	98	2	98	2	1
6932	1078.2394	2	2	1	98	2	98	2	1
5565	279.4147	2	2	2	6	1	5	1	7
2607	3447.0998	1	2	1	98	2	98	2	1
3948	2542.1884	1	2	1	7	1	4	2	1
8141	4810.4048	2	3	1	98	2	98	2	1
7014	1252.6996	1	2	2	98	2	98	2	1
1906	2104.1485	1	1	1	5	1	6	2	1
9380	7709.0313	1	3	1	6	1	6	1	4
2851	287.0342	2	3	1	98	2	98	2	1
568	399.3711	1	2	1	98	2	98	2	1
6728	2021.6831	1	1	2	98	1	7	2	1
4005	4561.2354	1	1	1	98	2	98	2	1
4649	6782.1535	2	3	1	98	1	6	1	7
3945	4318.4373	2	2	1	98	2	98	2	1
6796	8105.6358	2	3	2	7	1	3	1	8
416	1589.7934	1	3	1	7	2	98	2	1
4622	8015.2723	1	3	1	98	1	5	2	1
6764	6223.7833	2	2	2	1	1	3	1	3
3984	10356.5925	1	3	2	99	2	98	1	7
2142	8210.3153	2	1	2	7	1	99	2	1
6518	1852.235	1	3	1	98	2	98	2	1
5011	1380.636	2	2	1	98	1	6	2	1
9078	1905.1062	2	3	1	98	2	98	2	1
4939	713.5475	2	3	2	5	1	6	1	8
4667	6223.7833	2	2	1	6	1	6	1	8
4535	4220.9932	1	2	1	4	1	6	1	8
8136	3897.4035	2	3	1	98	2	98	2	1
2593	3447.0998	1	2	9	98	2	98	2	1
6015	1073.6385	1	3	1	7	1	7	1	8
6729	1626.2836	2	2	2	6	1	6	2	1
8129	3897.4035	2	3	2	5	1	3	1	7
3489	2995.2062	1	1	2	6	1	7	1	7
9116	1059.0781	2	2	1	7	1	7	2	1
2548	2902.1006	1	1	2	98	2	98	2	1
8145	8137.1595	1	2	1	98	2	98	2	1
6406	389.7139	1	1	1	98	2	98	2	1
3962	4498.1474	1	2	1	98	2	98	2	1
3764	28.0644	2	1	2	98	2	98	2	1
2677	6223.7833	2	2	1	1	1	6	1	4
6804	8105.6358	1	3	1	7	2	98	2	1
6788	6223.7833	1	2	1	98	2	98	2	1
